exposure_id,archive,site,start,ra_deg,dec_deg,launch_id,launch_datetime_utc,launch_date_utc,rocket,flight_number,launch_site,outcome,delta_days,source_url,classification,geometric_visibility
DASCH:ivo://org.gavo.dc/~?dasch/q/ir12147,Harvard DASCH,DASCH historical observing site unresolved,1953-03-15 03:09:26.999982296+00:00,149.86741985355647,29.377340524677773,L0124,,1953-03-15,R-5,,Kapustin Yar,Partial failure [7],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/b76205,Harvard DASCH,DASCH historical observing site unresolved,1952-04-22 20:38:57.499988078+00:00,155.60500009528647,-15.57353809575675,L0066,1952-04-22T17:28:00Z,1952-04-22,Aerobee RTV-A-1,USAF 24,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38053,Harvard DASCH,DASCH historical observing site unresolved,1954-10-19 00:22:23.700000852+00:00,309.62442904089335,27.038622049285724,L0277,,1954-10-19,R-5,,Kapustin Yar,Successful,0,https://en.wikipedia.org/wiki/1954_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38231,Harvard DASCH,DASCH historical observing site unresolved,1955-05-20 06:33:36.399993212+00:00,326.488225474225,24.51337787991797,L0341,,1955-05-20,R-2,,Kapustin Yar,Successful[21],0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37015,Harvard DASCH,DASCH historical observing site unresolved,1951-03-28 01:03:36.800017027+00:00,181.5971523269897,35.26999487388919,L0011,1951-03-28T23:14:00Z,1951-03-28,Aerobee RTV-A-1,USAF 10,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37017,Harvard DASCH,DASCH historical observing site unresolved,1951-03-28 01:51:29.099990859+00:00,188.9157850860142,39.57028301390189,L0011,1951-03-28T23:14:00Z,1951-03-28,Aerobee RTV-A-1,USAF 10,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37091,Harvard DASCH,DASCH historical observing site unresolved,1951-07-25 06:12:32.799993540+00:00,326.907160259688,47.89081487087216,L0034,1951-07-25T16:26:00Z,1951-07-25,Aerobee RTV-A-1,USAF 15,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37071,Harvard DASCH,DASCH historical observing site unresolved,1951-06-26 05:54:56.399982719+00:00,286.97583838155765,-2.879070275537514,L0028,,1951-06-26,R-1,,Kapustin Yar,Successful[2],0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j03870,Harvard DASCH,DASCH historical observing site unresolved,1952-05-01 07:16:30.100000586+00:00,285.8041280011413,1.9490208099044768,L0068,1952-05-01T14:59:00Z,1952-05-01,Aerobee RTV-N-10,NRL 9,White Sands LC-35,Successful,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j03870,Harvard DASCH,DASCH historical observing site unresolved,1952-05-01 07:16:30.100000586+00:00,285.8041280011413,1.9490208099044768,L0069,1952-05-01T15:42:00Z,1952-05-01,Aerobee RTV-A-1,USAF 25,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/ma11058,Harvard DASCH,DASCH historical observing site unresolved,1952-08-24 03:54:43.300017097+00:00,290.76203072495923,2.749334714227728,L0084,1952-08-24T03:34:00Z,1952-08-24,Deacon rockoon,SUI 2,"USCGC Eastwind, northern Baffin Bay",Partial failure,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04398,Harvard DASCH,DASCH historical observing site unresolved,1953-08-08 05:46:26.400000541+00:00,325.5350307933509,14.924436763405383,L0155,1953-08-08T15:09:00Z,1953-08-08,Deacon Rockoon,NRL Rockoon 2,"USS Staten Island, Baffin Bay",,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04654,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 00:34:17.300014023+00:00,325.0600611359161,14.964942312723162,L0185,,1953-11-03,R-5,,Kapustin Yar,Successful[10],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04654,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 00:34:17.300014023+00:00,325.0600611359161,14.964942312723162,L0186,1953-11-03T18:15:00Z,1953-11-03,Aerobee RTV-A-1a,USAF 45,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37771,Harvard DASCH,DASCH historical observing site unresolved,1953-11-02 00:58:08.899992618+00:00,325.7136228026019,15.44859212696752,L0184,1953-11-02T18:32:00Z,1953-11-02,Aerobee RTV-A-1a,USAF 44,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37776,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 00:49:13.800018342+00:00,325.7068944894118,15.455768630830605,L0185,,1953-11-03,R-5,,Kapustin Yar,Successful[10],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37776,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 00:49:13.800018342+00:00,325.7068944894118,15.455768630830605,L0186,1953-11-03T18:15:00Z,1953-11-03,Aerobee RTV-A-1a,USAF 45,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j03997,Harvard DASCH,DASCH historical observing site unresolved,1952-08-24 02:31:57.300005395+00:00,303.0248380007811,37.32775302535492,L0084,1952-08-24T03:34:00Z,1952-08-24,Deacon rockoon,SUI 2,"USCGC Eastwind, northern Baffin Bay",Partial failure,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j03998,Harvard DASCH,DASCH historical observing site unresolved,1952-08-24 03:23:46.699993227+00:00,300.4724420676017,37.13685351761452,L0084,1952-08-24T03:34:00Z,1952-08-24,Deacon rockoon,SUI 2,"USCGC Eastwind, northern Baffin Bay",Partial failure,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04010,Harvard DASCH,DASCH historical observing site unresolved,1952-08-26 03:31:52.300014709+00:00,300.47015816872664,36.97025241397316,L0086,1952-08-26T18:53:00Z,1952-08-26,Aerobee RTV-A-1a,USAF 29,Holloman LC-A,Launch failure,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
