raw_match_row,population,v078_catalog_recurrence_class,selection_role,physical_plate_id,archive_family,archive_id,archive_names,institutes,representative_exposure_start_utc,seconds_from_science_epoch,coverage_class,edge_distance_arcsec,scan_id,filename_scan,expected_file_size,fits_checksum,solution_id,solution_num,v078_plate_recurrence_class,v078_nearest_separation_arcsec
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-12-04T18:50:00+00:00,165661.5,COVERED_INTERIOR,0.0,114131,DR4/scans/Bamberg-North/012688_1953_h.fits,174888000,SFRMUCPMSCPMSCPM,111428,1,NO_SOURCE_WITHIN_15_ARCSEC,
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,POSITIVE_STRICT_RECURRENCE_CONTROL,80726,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1931-12-31T19:43:00+00:00,-691808758.5,COVERED_INTERIOR,0.0,105655,DR4/scans/Bamberg-North/003789_1931_h.fits,174156480,4LWI5IVH4IVH4IVH,106186,1,STRICT_LE3,0.9439609932386882
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,8369,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1959-02-28T18:58:09+00:00,165362950.5,COVERED_INTERIOR,0.0,10960,DR4/scans/HAM-LA/LA08860_x.fits,425269440,JOUfLLSZJLSdJLSZ,15812,1,DIAGNOSTIC_GT3_LE5,3.1047043914748707
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7526,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-04-10T20:04:33+00:00,-20393065.5,COVERED_INTERIOR,0.0,9698,DR4/scans/HAM-LA/LA08001_y.fits,426130560,0mbT3jZT0jaT0jYT,14192,1,NO_SOURCE_WITHIN_15_ARCSEC,
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,8285,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1956-03-03T19:41:51+00:00,71016772.5,COVERED_INTERIOR,0.0,10815,DR4/scans/HAM-LA/LA08773_x.fits,430007040,WPFJZMEJWMEJWMEJ,15613,1,NO_SOURCE_WITHIN_15_ARCSEC,
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
293470,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1958-12-02T00:05:00+00:00,157691761.5,COVERED_INTERIOR,0.0,114694,DR4/scans/Bamberg-North/013251_1958_h.fits,174444480,1eHe4cHc1cHc1cHc,112089,1,NO_SOURCE_WITHIN_15_ARCSEC,
293565,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,POSITIVE_STRICT_RECURRENCE_CONTROL,5367,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1939-11-17T21:19:56+00:00,-443143742.5,COVERED_INTERIOR,0.0,6637,DR4/scans/HAM-LA/LA05690_x.fits,430951680,8GH389F18EF189F1,8411,1,STRICT_LE3,0.7150165843016589
293565,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,7637,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-10-11T23:26:34+00:00,-4483344.5,COVERED_INTERIOR,0.0,9905,DR4/scans/HAM-LA/LA08113_x.fits,427155840,inUFllU9ilUEilU9,14482,1,DIAGNOSTIC_GT3_LE5,4.290680802282548
293565,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7679,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-11-25T21:12:01+00:00,-603417.5,COVERED_INTERIOR,0.0,9986,DR4/scans/HAM-LA/LA08157_x.fits,427155840,nTlgqSkgnSkgnSkg,14588,1,NO_SOURCE_WITHIN_15_ARCSEC,
293565,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7688,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-12-05T20:44:39+00:00,258940.5,COVERED_INTERIOR,0.0,10002,DR4/scans/HAM-LA/LA08168_x.fits,427161600,ZdIFfd9CZdGCdd9C,14604,1,NO_SOURCE_WITHIN_15_ARCSEC,
293565,DIAGNOSTIC_179,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
