scan_id,solution_num,rows,relative_path,size_bytes,sha256
108217,1,3445,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108217_solution_1.npz,203773,599da8f825fde93869de3780dfba58a6ad50fb0d69d8fedeed9d56719cf7862d
108218,1,2652,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108218_solution_1.npz,161434,6be62b02811371562184785acab3550b2cdbf92e8efd8246c564fe4a8ffbf90c
108219,1,1921,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108219_solution_1.npz,118451,9f663176cba1e2e1c5f4c513e56de5b745a565ebb95089b0037264fcde49832e
108220,1,3445,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108220_solution_1.npz,203583,5a6ee8b2b5b00ccb43c8099916c51dfb5245ba01e7958dce48beb0fbeda2bbd1
108229,1,0,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108229_solution_1.npz,4286,5d0b9dc552157541f99dbfd133d21e6c32e80a56d16ffdeccd5cae8cbba35413
108235,1,5835,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108235_solution_1.npz,336164,e497eacb6df6611ff0157d88ee0360335fa2605e166dea8f5de978bf960c8f8d
108266,1,6908,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108266_solution_1.npz,399094,d8039cbd72528a6fb860c0e702c7f40b812501a6bda48b8ac5c4a754879c39b2
108286,1,4152,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108286_solution_1.npz,247995,d6c66f4042fb38354f0333a3254ee0712fa83a0703d9aac39ee83b3c5ea90af9
108287,1,7320,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108287_solution_1.npz,418239,b9683ec1b969488440a2d78e64dd0c7fac68741769c67ef72669485e144273ba
108324,1,3128,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108324_solution_1.npz,179379,010417efdf08585fdcd84d40d36cb487c7a69dde5688f483d83bc7a6527bb47e
108325,1,2344,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108325_solution_1.npz,139628,6c0d8f3e43f8a5c407dbf8469421146e10b796f71388659e9b2ae8511d731792
108326,1,2011,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108326_solution_1.npz,120328,38f0cc6f26db498cbb0bfbde27ded88a7c8a5e97ce688570239e046add10ce64
108332,1,7674,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108332_solution_1.npz,428426,12a4ee920657fd738a362f552b127e7ea6ffcfc879269976abf53b26cc012d80
108336,1,6102,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108336_solution_1.npz,341485,42f1294e4c35631d360877d7849a6ec7da088c3dbcf9e4129d5a1adac0312e78
108348,1,8017,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108348_solution_1.npz,461336,e1e37e3fa216cbf28f6bd3c60ce1d17a3d0a13e2e0fb03284cb59fc0a759dad5
108349,1,10004,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108349_solution_1.npz,569421,69c96c57a66377f641d0c438b54caa80a5ee6e50d1e4126ff32305cfc745c864
108356,1,2644,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108356_solution_1.npz,160984,a0807c2d62f58b3848afe10e69ba2457dd8883964aac441e8a593e8d41451590
108360,1,9731,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108360_solution_1.npz,439314,5e4d79b902e041eeaacfc58f6c75064342e0af7d95ee2e389dc0fca8fcade630
108548,1,7390,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108548_solution_1.npz,410432,9d446f11ee7242c0473e12c9aed20b6a5c5c47d890fdf0bb526122c0f29e8812
108549,1,8760,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108549_solution_1.npz,481287,e35cf3e34dabc5df68c1641620e151e324400224ff16ba902df9d645176e1db0
108550,1,2819,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108550_solution_1.npz,163107,6a369526130da7e9ebdbb5ac8e82a8488abc355f224974a3a868f856c1620cca
108564,1,9059,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108564_solution_1.npz,508614,14ec023e8dbbc7e09c01356a13a11fb7284f328ab875213001b5de7d1ee91edd
109099,1,2143,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109099_solution_1.npz,133697,092ec06c47d2fb27c2ea7420a8891b3a9a89e95cee955ca9807598a334a03d72
109112,1,2036,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109112_solution_1.npz,122865,e967054fb8645a2c0b43a8d9b8f52c1fa8b49c722cbd0f8cdeb73fd9fe3f6246
