canonical_pair,direction,endpoint_a,endpoint_b,pair_index,position_angle_deg_east_of_north,primary_corrected_le3,primary_loo_crosses_gt3,primary_loo_robust_corrected_le3,primary_raw_gt3_to_corrected_le3,primary_raw_le3_to_corrected_gt3,primary_raw_le3_to_corrected_le3,primary_registered,primary_window_10arcmin,primary_window_20arcmin,primary_window_30arcmin,primary_window_5arcmin,raw_control_le10_associations,raw_control_le3_associations,shift_radius_arcsec,sparse_diagnostic_corrected_le3,sparse_diagnostic_registered,unregistered
APPLAUSE:12565 | APPLAUSE:139011,NE,APPLAUSE:12565,APPLAUSE:139011,6,45.0,30,15,15,11,10,19,331,75,106,70,80,370,35,60.0,6,39,0
APPLAUSE:12565 | APPLAUSE:139011,NW,APPLAUSE:12565,APPLAUSE:139011,6,315.0,33,18,15,12,7,21,390,78,140,73,99,419,32,60.0,2,29,0
APPLAUSE:12565 | APPLAUSE:139011,S,APPLAUSE:12565,APPLAUSE:139011,6,180.0,32,18,14,14,8,18,355,37,165,69,84,381,30,60.0,4,26,0
APPLAUSE:12565 | APPLAUSE:139011,SE,APPLAUSE:12565,APPLAUSE:139011,6,135.0,34,27,7,16,11,18,381,58,155,70,98,407,31,60.0,2,26,0
APPLAUSE:12565 | APPLAUSE:139011,SW,APPLAUSE:12565,APPLAUSE:139011,6,225.0,25,12,13,11,12,14,331,48,131,63,89,357,29,60.0,3,26,0
APPLAUSE:12565 | APPLAUSE:139011,W,APPLAUSE:12565,APPLAUSE:139011,6,270.0,32,15,17,15,9,17,353,74,112,76,91,385,29,60.0,3,32,0
APPLAUSE:12565 | APPLAUSE:139011,E,APPLAUSE:12565,APPLAUSE:139011,6,90.0,30,20,10,15,15,15,341,59,90,66,126,379,32,120.0,2,38,0
APPLAUSE:12565 | APPLAUSE:139011,N,APPLAUSE:12565,APPLAUSE:139011,6,0.0,21,15,6,4,12,17,319,57,102,84,76,352,37,120.0,9,33,0
APPLAUSE:12565 | APPLAUSE:139011,NE,APPLAUSE:12565,APPLAUSE:139011,6,45.0,28,15,13,12,5,16,360,60,98,77,125,390,22,120.0,1,30,0
APPLAUSE:12565 | APPLAUSE:139011,NW,APPLAUSE:12565,APPLAUSE:139011,6,315.0,30,14,16,11,9,19,301,56,89,49,107,324,31,120.0,3,23,0
APPLAUSE:12565 | APPLAUSE:139011,S,APPLAUSE:12565,APPLAUSE:139011,6,180.0,25,16,9,10,6,15,296,50,140,48,58,322,23,120.0,2,26,0
APPLAUSE:12565 | APPLAUSE:139011,SE,APPLAUSE:12565,APPLAUSE:139011,6,135.0,27,14,13,10,14,17,396,50,165,51,130,424,32,120.0,1,28,0
APPLAUSE:12565 | APPLAUSE:139011,SW,APPLAUSE:12565,APPLAUSE:139011,6,225.0,35,22,13,16,14,19,378,86,160,44,88,398,33,120.0,0,20,0
APPLAUSE:12565 | APPLAUSE:139011,W,APPLAUSE:12565,APPLAUSE:139011,6,270.0,23,13,10,5,7,18,315,71,86,69,89,356,26,120.0,1,41,0
APPLAUSE:12568 | APPLAUSE:139012,E,APPLAUSE:12568,APPLAUSE:139012,7,90.0,60,37,23,24,22,36,595,125,144,106,220,607,58,60.0,0,12,0
APPLAUSE:12568 | APPLAUSE:139012,N,APPLAUSE:12568,APPLAUSE:139012,7,0.0,55,30,25,22,24,33,530,107,134,90,199,542,57,60.0,0,12,0
APPLAUSE:12568 | APPLAUSE:139012,NE,APPLAUSE:12568,APPLAUSE:139012,7,45.0,42,15,27,15,26,27,507,94,142,68,203,513,54,60.0,1,6,0
APPLAUSE:12568 | APPLAUSE:139012,NW,APPLAUSE:12568,APPLAUSE:139012,7,315.0,41,25,16,12,20,29,506,82,119,73,232,519,51,60.0,3,13,0
APPLAUSE:12568 | APPLAUSE:139012,S,APPLAUSE:12568,APPLAUSE:139012,7,180.0,61,28,33,25,14,36,557,102,115,104,236,568,50,60.0,0,11,0
APPLAUSE:12568 | APPLAUSE:139012,SE,APPLAUSE:12568,APPLAUSE:139012,7,135.0,55,41,14,18,14,37,582,115,155,101,211,591,52,60.0,1,9,0
APPLAUSE:12568 | APPLAUSE:139012,SW,APPLAUSE:12568,APPLAUSE:139012,7,225.0,45,21,24,19,12,26,549,87,112,89,261,558,40,60.0,1,9,0
APPLAUSE:12568 | APPLAUSE:139012,W,APPLAUSE:12568,APPLAUSE:139012,7,270.0,44,23,21,17,17,27,546,94,119,101,232,559,44,60.0,0,13,0
APPLAUSE:12568 | APPLAUSE:139012,E,APPLAUSE:12568,APPLAUSE:139012,7,90.0,45,26,19,19,21,26,490,66,141,92,191,498,47,120.0,0,8,0
APPLAUSE:12568 | APPLAUSE:139012,N,APPLAUSE:12568,APPLAUSE:139012,7,0.0,54,29,25,22,11,32,578,91,139,79,269,585,43,120.0,0,7,0
APPLAUSE:12568 | APPLAUSE:139012,NE,APPLAUSE:12568,APPLAUSE:139012,7,45.0,51,29,22,16,22,35,555,82,150,106,217,567,58,120.0,1,12,0
