launch_id,year,launch_date_utc,launch_datetime_utc,time_precision,raw_date_time,rocket,payload,flight_number,launch_site,launch_service_provider,operator,trajectory_class,function,decay_or_impact_date_utc,outcome,remarks,source_url,source_tier
L0037,1951,1951-08-07,1951-08-07T16:36:00Z,minute,7 August 16:36,Aerobee RTV-A-1,,USAF 16,Holloman LC-A,US Air Force,AFCRC / Boston University,Suborbital,Ionospheric,7 August,Successful,Apogee: 83.5 kilometres (51.9 mi)[19]: 76–77,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0038,1951,1951-08-07,1951-08-07T18:00:00Z,minute,7 August 18:00,Viking (first model),,,White Sands LC-33 – Army Launch Area 1,US Navy,NRL,Suborbital,Cosmic Radiation / Solar X-Ray / Aeronomy,7 August,Successful,"Final flight of the first model Viking, apogee: 219 kilometres (136 mi)[19]: 492–493",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0039,1951,1951-08-15,,day,15 August,R-1B,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Solar UV / Biological,15 August,Successful,"Carried dogs, recovered[2]",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0040,1951,1951-08-19,,day,19 August,R-1V,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biological,19 August,Successful,"Final flight of the R-1V; carried dogs, recovered[2]",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0041,1951,1951-08-22,1951-08-22T19:00:00Z,minute,22 August 19:00,V-2,,TF-1,White Sands LC-33,US Army,US Army,Suborbital,Altitude test,22 August,Successful,First all Army team after General Electric's contract concluded; apogee: 213.4 kilometres (132.6 mi)[19]: 463,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0042,1951,1951-08-28,,day,28 August,R-1B,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biological,28 August,Successful[2],,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0043,1951,1951-08-30,1951-08-30T22:40:00Z,minute,30 August 22:40,Aerobee RTV-A-1b,,USAF 17,Holloman LC-A,US Air Force,AFCRC,Suborbital,Rocket test,30 August,Successful,"Maiden (and only) flight of the RTV-A-1b, apogee: 76 kilometres (47 mi)[19]: 78–79",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0044,1951,1951-09-03,,day,3 September,R-1B,,,Kapustin Yar,OKB-1,OKB-1,Suborbital,Biological,3 September,Successful,"Final flight of the R-1B; carried dogs, recovered[2]",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0045,1951,1951-09-13,1951-09-13T11:37:00Z,minute,13 September 11:37,Aerobee RTV-A-1,,USAF 18,Holloman LC-A,US Air Force,AFCRC / University of Michigan,Suborbital,Aeronomy,13 September,Successful,Apogee: 76 kilometres (47 mi)[19]: 80–81,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0046,1951,1951-09-20,1951-09-20T16:31:00Z,minute,20 September 16:31,Aerobee RTV-A-1,,USAF 19,Holloman LC-A,US Air Force,AFCRC / WADC Aero-Medical Laboratory,Suborbital,Biological,20 September,Successful,"Carried monkey, Yorick/Albert VI, and 11 mice, all recovered;[20] apogee: 71 kilometres (44 mi)[19]: 82–83",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0047,1951,1951-09-27,1951-09-27T00:06:00Z,minute,27 September 00:06,Aerobee XASR-SC-1,,SC 21,White Sands LC-35,US Army,USASC / University of Michigan,Suborbital,Aeronomy,27 September,Successful,Apogee: 68.9 kilometres (42.8 mi)[19]: 229–230,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0048,1951,1951-10-17,1951-10-17T18:17:00Z,minute,17 October 18:17,Aerobee RTV-A-1a,,USAF 20,Holloman LC-A,US Air Force,AFCRC / Boston University,Suborbital,Ionospheric,17 October,Successful,"Apogee: 114.3 kilometres (71.0 mi), maiden flight of the RTV-A-1a[19]: 84",https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0049,1951,1951-10-29,1951-10-29T21:04:00Z,minute,29 October 21:04,V-2,,V-2 No. 60,White Sands LC-33,US Army,USASC / University of Michigan,Suborbital,Aeronomy,29 October,Successful,Apogee: 141.0 kilometres (87.6 mi)[19]: 458–459,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0050,1951,1951-11-01,1951-11-01T09:46:00Z,minute,1 November 09:46,Aerobee XASR-SC-1,,SC 20,White Sands LC-35,US Army,USASC,Suborbital,Aeronomy,1 November,Successful,Apogee: 66.3 kilometres (41.2 mi)[19]: 226–227,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0051,1951,1951-11-03,1951-11-03T00:35:00Z,minute,3 November 00:35,Aerobee XASR-SC-1,,SC 22,White Sands LC-35,US Army,USASC,Suborbital,Aeronomy,3 November,Successful,Apogee: 82 kilometres (51 mi)[19]: 231–232,https://en.wikipedia.org/wiki/1951_in_spaceflight,compiled_event_table
L0052,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 1/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0053,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 2/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0054,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 3/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
L0055,1951,,,year_only_aggregate,,R-2,,,,,,Suborbital,Missile test,,,Aggregate series member 4/10; individual date not enumerated in source event table,https://en.wikipedia.org/wiki/1951_in_spaceflight,annual_statistics_reconciliation
