pair_index,pair_id,plate_a,plate_b,site_a,site_b,parent_pair_status,downstream_pair_class,eligible_fragment_count,admissible_fragment_count,unresolved_fragment_count,witness_count,parent_pair_row_sha256
319,3527|121680,2687,78997,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,05bd710202e03b3a59da0c5b1e5d7968e48a4ec796ce946c880a6846b8f07eea
321,3530|121682,2690,78999,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,85160b0801184919cb3964f407df4a66977f8e3778ef707b28ea72f457a1fc14
351,3632|121797,2792,79113,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,4809388f75e647c0951d84e0e7594e1a0fb72908eda4970e5965715844383c3f
357,3641|121770,2801,79086,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,1688f1bb32fb230ec5a90e923994d34fd9d368514fe8870fd749d5210c096d88
360,3650|121790,2810,79106,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,1e7bafa54fda6565172bdb047a1253a405248d8f50a3ab1a44c28949b6981635
361,3650|121791,2810,79107,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,b3cc9024e13683d53f748c827df68f3aeb2d06524ebb0701d0220ef90a17fe48
380,3706|121863,2866,79179,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,ae338a7d667a295974a93699453510c57b6d1426d4927d11a1547de79114b6f2
382,3708|86395,2868,58311,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,691e1a2ae3631a2fe530e236812a0aa2019115774a66b6eb095a2347d3a75ec6
383,3708|86396,2868,58311,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,bf16e22d00761b356c391254c2ca709e06886c63a80c649dce09c2e6d6f3db4a
393,3736|121932,2896,79239,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,97341e1f53bcfc7a517abbe3174e749d4cfcadfe5a74209033c69f39d462cea6
394,3737|121935,2897,79242,"Hamburg-Bergedorf, Germany","Dr. Remeis-Observatory, Bamberg, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,3f2c63f518190e1bbbcfe455e9b4443a9a62c88522fa487a7bf3176db4c08672
