background,centroid_offset_px,concentration_f3_f8,control_candidate_index,control_global_x,control_global_y,control_order,control_selection_mode,control_snr,distance_from_science_px,ellipticity,endpoint_key,error,flux3,flux5,flux8,oriented_center_value,peak_to_flux5,polarity,population,positive_flux_support_r6,raw_match_row,rounded_x,rounded_y,science_candidate_index,science_tile_id,side,sigma_major_px,sigma_minor_px,snr_ratio,usable
-3235.5,1.3386184081603683,0.2607964780491147,277,2203.0,4827.0,22,same_tile_same_polarity_preferred_snr_0.75_1.25,9.571616522734162,353.5661182862408,0.15827483457142355,APPLAUSE:132654,,289264.5,619383.0,1109158.0,12304.5,0.01986573735475465,-1,PRIMARY_424,769238.5,292670,2203,4827,149,x02048-03072_y04096-05120,B,2.763443146878353,2.3260596399586477,1.0168899391728687,True
-2111.5,0.25651058914054004,0.323837100419694,287,2104.0,4846.0,23,same_tile_same_polarity_preferred_snr_0.75_1.25,11.592396704812913,359.0055709874152,0.10605337723418018,APPLAUSE:132654,,389929.5,811785.5,1204091.5,16292.5,0.020069956903640187,-1,PRIMARY_424,977146.5,292670,2104,4846,149,x02048-03072_y04096-05120,B,2.7899154037406166,2.494035452976263,1.2315779212451807,True
-2835.5,0.6679915966723381,0.2826293802897825,279,2209.0,4832.0,24,same_tile_same_polarity_preferred_snr_0.75_1.25,11.297957692468831,360.04721912549195,0.07241263199875125,APPLAUSE:132654,,362534.5,772374.5,1282720.5,14924.5,0.0193228802867003,-1,PRIMARY_424,947401.5,292670,2209,4832,149,x02048-03072_y04096-05120,B,2.7545049110303887,2.555043960569192,1.2002966775136188,True
-187.5,0.9230663758555924,0.379092551945274,9,2142.0,4125.0,25,same_tile_same_polarity_preferred_snr_0.75_1.25,7.154184025590953,363.78565117387467,0.08639898900459697,APPLAUSE:132654,,189636.5,369684.5,500238.0,8992.5,0.024324795873237857,-1,PRIMARY_424,424822.0,292670,2142,4125,149,x02048-03072_y04096-05120,B,2.541828591690092,2.3222171711450894,0.7600615571398343,True
-388.5,0.8297843079421459,0.3819713296798904,232,2418.0,4685.0,26,same_tile_same_polarity_preferred_snr_0.75_1.25,8.03046984643475,369.5240181639077,0.12808342945412055,APPLAUSE:132654,,212273.5,416206.0,555731.5,9921.5,0.02383795524331701,-1,PRIMARY_424,480690.5,292670,2418,4685,149,x02048-03072_y04096-05120,B,2.6375433274273976,2.299717732716664,0.8531582908983817,True
508.5,0.7720680805758535,0.4641352265845674,297,2197.0,4865.0,27,same_tile_same_polarity_preferred_snr_0.75_1.25,7.619996758345189,388.7994341559668,0.16426527398520396,APPLAUSE:132654,,109599.5,161367.5,236137.0,8986.5,0.055689652501278136,-1,PRIMARY_424,185623.5,292670,2197,4865,149,x02048-03072_y04096-05120,B,2.42896603090958,2.0299712603414646,0.8095495699902586,True
237.5,0.1459620681254946,0.4329114804341968,168,2498.0,4520.0,28,same_tile_same_polarity_preferred_snr_0.75_1.25,7.284831891261739,393.38657831705444,0.25260196380165,APPLAUSE:132654,,174302.5,320869.5,402628.5,8958.5,0.027919450119129427,-1,PRIMARY_424,359008.0,292670,2498,4520,149,x02048-03072_y04096-05120,B,2.7380678498908892,2.0464265339862893,0.7739416054952483,True
394.5,0.7360705535389117,0.46870357954289693,86,2472.0,4326.0,29,same_tile_same_polarity_preferred_snr_0.75_1.25,7.784626127454619,399.8462204398086,0.1338861248423584,APPLAUSE:132654,,197836.5,331215.0,422093.0,9754.5,0.029450658937548117,-1,PRIMARY_424,368472.5,292670,2472,4326,149,x02048-03072_y04096-05120,B,2.4357993132819766,2.109679582332975,0.8270398182406069,True
-932.0,0.41706474525181164,0.3853201368287804,36,2382.0,4194.0,30,same_tile_same_polarity_preferred_snr_0.75_1.25,11.045164221939539,402.5232912515747,0.100930421324257,APPLAUSE:132654,,319005.0,623887.0,827896.0,13764.0,0.022061687453016333,-1,PRIMARY_424,713928.0,292670,2382,4194,149,x02048-03072_y04096-05120,B,2.6281997337412206,2.362934427290419,1.1734398622348974,True
-555.0,0.2851221007339472,0.3770264604490823,307,2128.0,4890.0,31,same_tile_same_polarity_preferred_snr_0.75_1.25,10.642327245380361,403.6000495540108,0.09972866772704536,APPLAUSE:132654,,323730.0,633530.0,858640.0,13422.0,0.021186052752040156,-1,PRIMARY_424,730729.0,292670,2128,4890,149,x02048-03072_y04096-05120,B,2.6561333852906275,2.3912407414702663,1.1306424029325026,True
