raw_match_row,population,a_endpoint_status,b_endpoint_status,a_control_count,b_control_count,a_outlier_metric_count,b_outlier_metric_count,a_outlier_metrics,b_outlier_metrics,pair_morphology_context,candidate_disposition_changed
292814,DIAGNOSTIC_179,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,31,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292816,DIAGNOSTIC_179,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,5,0,sigma_major_px;ellipticity;centroid_offset_px;concentration_f3_f8;peak_to_flux5,,MORPHOLOGY_OUTLIER_ONE_ENDPOINT,False
292817,DIAGNOSTIC_179,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,6,0,sigma_major_px;sigma_minor_px;ellipticity;centroid_offset_px;concentration_f3_f8;peak_to_flux5,,MORPHOLOGY_OUTLIER_ONE_ENDPOINT,False
292821,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,30,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292825,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292826,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292829,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,23,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292831,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,5,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292832,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,12,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292833,DIAGNOSTIC_179,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292835,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,7,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292840,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,17,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292841,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292842,PRIMARY_424,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,3,0,sigma_major_px;ellipticity;concentration_f3_f8,,MORPHOLOGY_OUTLIER_ONE_ENDPOINT,False
292845,PRIMARY_424,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,3,0,sigma_major_px;ellipticity;concentration_f3_f8,,MORPHOLOGY_OUTLIER_ONE_ENDPOINT,False
292846,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,2,,centroid_offset_px;concentration_f3_f8,MORPHOLOGY_OUTLIER_ONE_ENDPOINT,False
292848,PRIMARY_424,INSUFFICIENT_USABLE_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,3,28,,0,,,MORPHOLOGY_UNRESOLVED_ONE_OR_MORE_ENDPOINTS,False
292850,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,13,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292854,DIAGNOSTIC_179,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,32,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292855,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,14,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292861,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,7,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292863,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,8,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292864,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,22,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292865,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,23,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292866,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,25,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292868,PRIMARY_424,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,10,32,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
292869,DIAGNOSTIC_179,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,MORPHOLOGY_NOT_OUTLIER_VS_SNR_MATCHED_CONTROLS,7,27,0,0,,,NO_MORPHOLOGY_OUTLIER_EITHER_ENDPOINT,False
