raw_match_row,population,target_ra_deg,target_dec_deg,eligible_physical_plate_count,raw_source_calib_rows_in_15arcsec,eligible_source_calib_rows_in_15arcsec,physical_plates_with_any_source_within_15arcsec,strict_physical_plate_recurrence_count,diagnostic_physical_plate_recurrence_count,wide_5_to_15_physical_plate_context_count,best_eligible_separation_arcsec,distinct_nonnull_gaiaedr3_ids_on_strict_plates,gaiaedr3_ids_repeated_on_2plus_strict_plates,catalog_recurrence_class,candidate_disposition_changed
293575,DIAGNOSTIC_179,84.49174276802775,10.317223711951108,780,594,594,312,226,65,20,0.9358902683301797,1,3339527051931060480:224,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293587,DIAGNOSTIC_179,84.18529996765515,9.73456995919042,765,349,349,190,109,71,10,1.3652600809387103,1,3337935470192700160:103,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293592,PRIMARY_424,85.94401772281675,10.3816934473115,923,1092,1092,563,436,87,40,0.10021018829570054,1,3336578299184626944:398,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293597,PRIMARY_424,84.21051613691323,8.3110837166919,746,369,369,206,45,146,15,1.3769661366771275,1,3334678922909695616:43,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293598,PRIMARY_424,84.80292799347647,8.947810399324934,882,561,561,285,20,239,26,1.0577733277198802,1,3334823474329724416:11,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293602,PRIMARY_424,84.90764345212618,8.311396928129975,895,446,446,234,209,16,8,0.2557547895326278,1,3334573369793212160:198,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293603,PRIMARY_424,85.38350281256955,8.34042797425982,903,941,941,475,2,245,228,1.277913015654243,1,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293604,PRIMARY_424,84.33021652015118,11.13186105856821,772,669,669,348,3,155,189,0.5463983780364714,1,3339862192522759936:2,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293605,PRIMARY_424,84.25763300293713,7.64228426946043,735,818,818,405,44,324,37,0.6719281694677599,1,3334384700471731840:43,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293606,DIAGNOSTIC_179,86.83932670640993,10.01837819809818,921,766,766,401,194,196,11,0.8889624370166147,1,3336676808554973056:190,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293609,DIAGNOSTIC_179,84.71238056325637,10.621281854397758,869,479,479,250,87,143,20,1.212349150057301,1,3339632188432857984:85,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293610,PRIMARY_424,84.75809677372261,7.575067517006509,837,836,836,406,6,375,25,1.270446995179739,1,3334388793576399232:3,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293614,DIAGNOSTIC_179,84.76703684648686,7.6166870472970105,840,392,392,214,1,10,203,2.854579672650736,1,,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,False
293615,PRIMARY_424,85.42874877080565,8.21171376021888,901,1086,1086,547,12,482,52,1.2420745015949457,1,3334530561857113600:9,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293617,DIAGNOSTIC_179,83.92808396852611,7.778134569562803,726,282,282,173,80,73,19,0.904684081397087,0,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293623,DIAGNOSTIC_179,84.16701087010401,7.466035374636455,735,250,250,143,131,2,10,0.059993988256185085,1,3334375152760204928:126,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
